108619_Bacteria_37	UP000399950
108619_Bacteria_37	UP000372470
108619_Bacteria_37	UP000419290
108619_Bacteria_37	UP000361781
108619_Bacteria_37	UP000187320
108619_Bacteria_37	UP000370035
108619_Bacteria_37	UP000368986
108619_Bacteria_37	UP000355568
1086393_Bacteria_28	UP000295741
1089305_Bacteria_25	UP000184522
108980_Bacteria_30	UP000235813
108980_Bacteria_30	UP000239482
108980_Bacteria_30	UP000281584
108980_Bacteria_30	UP000263596
108980_Bacteria_30	UP000282186
108981_Bacteria_29	UP000500936
108981_Bacteria_29	UP000243349
108981_Bacteria_29	UP000244632
108981_Bacteria_29	UP000250355
1090615_Bacteria_25	UP000198741
109232_Bacteria_30	UP000018149
1092_Bacteria_25	UP000053937
109328_Bacteria_37	UP000321378
109328_Bacteria_37	UP000422644
109328_Bacteria_37	UP000321672
1093900_Eukaryota_25	UP000319257
109472_Bacteria_37	UP000294841
1094_Bacteria_25	UP000279908
1094_Bacteria_25	UP000327458
1095776_Archaea_37	UP000198882
1095777_Bacteria_37	UP000551878
1095778_Archaea_37	UP000198848
1096246_Bacteria_30	UP000248057
1096341_Bacteria_55	UP000295325
1096779_Bacteria_30	UP000219042
1097667_Bacteria_28	UP000005143
109790_Bacteria_37	UP000427672
109790_Bacteria_37	UP000318210
109790_Bacteria_37	UP000327236
109895_Eukaryota_24	UP000318582
1098_Bacteria_25	UP000309544
1099853_Bacteria_37	UP000262954
1101402_Bacteria_25	UP000248840
110321_Bacteria_28	UP000507954
110322_Bacteria_30	UP000439983
1104324_Archaea_90	UP000005867
110500_Bacteria_55	UP000054705
110505_Bacteria_42	UP000183110
110505_Bacteria_42	UP000595446
110505_Bacteria_42	UP000037512
1105143_Bacteria_28	UP000555407
1105145_Bacteria_28	UP000552097
110539_Bacteria_30	UP000430146
110845_Bacteria_37	UP000588186
1108595_Bacteria_26	UP000178776
1108595_Bacteria_26	UP000239640
1108595_Bacteria_26	UP000255521
1108812_Bacteria_37	UP000193866
110935_Bacteria_24	UP000189735
1109412_Bacteria_37	UP000044377
1109412_Bacteria_37	UP000217214
1109740_Bacteria_25	UP000198384
111015_Bacteria_37	UP000065220
111105_Bacteria_37	UP000030146
111105_Bacteria_37	UP000030130
1111760_Bacteria_37	UP000217758
1112_Bacteria_30	UP000078263
1115758_Bacteria_37	UP000245622
1117645_Bacteria_29	UP000254876
1117645_Bacteria_29	UP000191037
1117645_Bacteria_29	UP000189738
1117645_Bacteria_29	UP000190848
1117645_Bacteria_29	UP000251164
1117645_Bacteria_29	UP000239877
1117702_Bacteria_28	UP000058012
1117707_Bacteria_28	UP000184600
1117708_Bacteria_25	UP000284531
111806_Bacteria_33	UP000256661
1118202_Bacteria_28	UP000184335
1118202_Bacteria_28	UP000593605
111831_Bacteria_25	UP000516369
1118379_Bacteria_28	UP000466263
1119534_Bacteria_28	UP000544110
111955_Archaea_75	UP000646844
112002_Bacteria_29	UP000198501
1120045_Bacteria_29	UP000254939
1120045_Bacteria_29	UP000326881
1121298_Bacteria_37	UP000184080
112140_Bacteria_28	UP000561066
1122204_Bacteria_28	UP000199488
1122252_Bacteria_35	UP000199058
1122261_Bacteria_28	UP000241808
112234_Bacteria_27	UP000279541
112234_Bacteria_27	UP000186106
112248_Bacteria_36	UP000184476
1122941_Bacteria_28	UP000031461
112331_Bacteria_29	UP000525923
1123352_Bacteria_60	UP000198828
1123755_Bacteria_30	UP000198926
1123756_Bacteria_30	UP000193926
112413_Bacteria_29	UP000462940
112413_Bacteria_29	UP000199137
1124188_Bacteria_25	UP000184147
1124626_Bacteria_28	UP000218067
1124761_Bacteria_28	UP000583800
1124835_Bacteria_28	UP000273270
1124835_Bacteria_28	UP000184354
1124835_Bacteria_28	UP000255224
1125876_Bacteria_20	UP000198931
1125964_Bacteria_30	UP000221860
1126833_Bacteria_30	UP000032633
1128664_Bacteria_28	UP000320876
1128676_Bacteria_28	UP000321261
1128677_Bacteria_28	UP000545493
112901_Bacteria_30	UP000192738
112903_Bacteria_30	UP000198847
112904_Bacteria_37	UP000192477
112904_Bacteria_37	UP000321830
1129133_Bacteria_25	UP000535078
1130080_Bacteria_30	UP000198564
1130819_Bacteria_30	UP000308744
113107_Bacteria_37	UP000307982
113107_Bacteria_37	UP000289924
113107_Bacteria_37	UP000275354
1131292_Bacteria_37	UP000094469
1132028_Bacteria_28	UP000294980
113226_Eukaryota_24	UP000073492
113226_Eukaryota_25	UP000073492
1133106_Bacteria_30	UP000295765
1133344_Bacteria_28	UP000528964
1134406_Bacteria_42	UP000050417
1134435_Bacteria_28	UP000036902
1134687_Bacteria_34	UP000234373
1134687_Bacteria_34	UP000255050
1134687_Bacteria_34	UP000254863
1134687_Bacteria_34	UP000036623
1134687_Bacteria_34	UP000326587
1134687_Bacteria_34	UP000234505
1134687_Bacteria_34	UP000288724
1134687_Bacteria_34	UP000255325
1134687_Bacteria_34	UP000464389
