25_281252_Bacteria	UP000236959
25_282197_Bacteria	UP000048908
25_282199_Bacteria	UP000048949
25_28254_Bacteria	UP000295729
25_283786_Bacteria	UP000198846
25_286661_Eukaryota	UP000503462
25_28985_Eukaryota	UP000323107
25_290513_Bacteria	UP000479346
25_291186_Bacteria	UP000323720
25_293387_Bacteria	UP000433089
25_293939_Eukaryota	UP000051487
25_29497_Bacteria	UP000235743
25_295068_Bacteria	UP000092627
25_29533_Bacteria	UP000319700
25_295428_Bacteria	UP000315312
25_29833_Eukaryota	UP000095358
25_304077_Bacteria	UP000321746
25_311410_Bacteria	UP000049983
25_315421_Bacteria	UP000478837
25_318829_Eukaryota	UP000294847
25_320787_Bacteria	UP000036520
25_32597_Eukaryota	UP000553632
25_328515_Bacteria	UP000196102
25_330153_Eukaryota	UP000591131
25_345663_Bacteria	UP000054388
25_35806_Bacteria	UP000064912
25_36050_Eukaryota	UP000091967
25_362413_Bacteria	UP000050443
25_362418_Bacteria	UP000028715
25_364200_Bacteria	UP000199167
25_36643_Eukaryota	UP000325780
25_36746_Bacteria	UP000277236
25_36911_Eukaryota	UP000325883
25_370973_Bacteria	UP000541352
25_370979_Bacteria	UP000184071
25_378543_Bacteria	UP000245634
25_379075_Bacteria	UP000245535
25_37921_Bacteria	UP000195940
25_37992_Eukaryota	UP000297716
25_38448_Eukaryota	UP000322873
25_387094_Bacteria	UP000198345
25_392734_Bacteria	UP000182427
25_393481_Bacteria	UP000320582
25_401470_Bacteria	UP000247792
25_40382_Eukaryota	UP000053475
25_405671_Bacteria	UP000199643
25_408657_Bacteria	UP000199532
25_41062_Eukaryota	UP000326565
25_41067_Eukaryota	UP000234585
25_414048_Bacteria	UP000199666
25_414771_Bacteria	UP000249890
25_415851_Bacteria	UP000256769
25_41688_Eukaryota	UP000233524
25_41984_Eukaryota	UP000326950
25_420998_Bacteria	UP000049222
25_420999_Bacteria	UP000228531
25_424796_Bacteria	UP000529946
25_425504_Bacteria	UP000243606
25_430522_Bacteria	UP000094313
25_43655_Bacteria	UP000307706
25_43657_Bacteria	UP000031327
25_45248_Bacteria	UP000545278
25_45354_Eukaryota	UP000182334
25_45496_Bacteria	UP000198924
25_455361_Bacteria	UP000553193
25_457575_Bacteria	UP000293671
25_470826_Bacteria	UP000199296
25_47994_Bacteria	UP000293433
25_489703_Bacteria	UP000199233
